"BehaviorSpace results (NetLogo 5.1.0)"
"Ethnocentrism.nlogo"
"empty"
"04/18/2015 17:53:03:300 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","gain-of-receiving","initial-ptr","immigrants-per-day","immigrant-chance-cooperate-with-same","mutation-rate","cost-of-giving","immigrant-chance-cooperate-with-different","death-rate","max-pxcor","max-pycor","[step]","cc-sum","cd-sum","dc-sum","dd-sum"
"78","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","63","451","9","69"
"80","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","95","468","13","43"
"79","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","109","395","25","80"
"81","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","56","457","18","60"
"82","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","136","343","52","98"
"83","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","76","387","13","101"
"85","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","166","352","20","78"
"86","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","151","378","32","52"
"84","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","108","369","19","90"
"87","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","93","436","33","54"
"88","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","124","357","45","62"
"89","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","96","474","21","50"
"91","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","120","378","26","60"
"92","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","62","406","36","25"
"93","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","117","413","21","36"
"90","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","95","466","10","35"
"95","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","93","386","21","110"
"94","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","146","378","20","60"
"96","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","130","479","10","29"
"98","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","87","376","42","40"
"99","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","71","379","51","87"
"100","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","138","425","24","62"
"97","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","95","479","20","39"
"101","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","55","482","15","42"
"102","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","83","403","39","45"
"103","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","66","394","26","70"
"105","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","178","315","26","77"
"106","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","211","374","25","37"
"107","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","96","475","27","78"
"104","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","123","406","39","46"
"108","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","65","403","39","60"
"109","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","175","353","28","56"
"110","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","121","414","20","58"
"112","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","49","455","16","53"
"113","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","70","361","30","64"
"111","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","63","400","34","52"
"114","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","93","427","33","42"
"115","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","79","472","9","68"
"116","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","136","379","25","40"
"118","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","90","398","13","102"
"119","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","97","381","19","87"
"117","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","117","419","36","39"
"121","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","65","485","11","73"
"120","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","147","310","17","100"
"122","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","128","357","32","48"
"124","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","89","477","26","67"
"125","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","77","439","21","68"
"126","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","117","361","36","88"
"123","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","120","389","30","41"
"127","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","117","409","35","83"
"128","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","101","422","13","78"
"129","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","139","352","7","66"
"131","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","117","469","20","35"
"132","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","66","447","21","92"
"130","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","149","382","28","62"
"133","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","91","463","15","30"
"134","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","113","442","13","42"
"135","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","120","394","21","94"
"137","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","45","444","28","102"
"138","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","78","412","28","42"
"136","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","36","491","14","60"
"139","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","60","421","6","65"
"140","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","144","359","27","62"
"141","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","93","424","56","51"
"143","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","51","437","3","77"
"144","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","85","390","26","62"
"142","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","91","387","29","75"
"145","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","124","346","23","85"
"146","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","103","419","10","59"
"147","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","93","372","33","75"
"149","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","82","458","10","49"
"150","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","160","372","37","56"
"151","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","124","433","11","59"
"148","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","108","400","20","83"
"152","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","102","352","48","63"
"153","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","56","448","14","50"
"154","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","49","516","7","30"
"156","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","159","390","33","37"
"157","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","25","512","22","48"
"158","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","79","419","32","54"
"155","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","75","433","29","82"
"159","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","174","368","28","51"
"160","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","114","401","19","83"
"161","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","99","418","31","41"
"163","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","119","374","24","84"
"164","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","153","359","37","71"
"165","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","159","325","22","47"
"162","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","71","420","16","38"
"166","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","39","515","5","74"
"167","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","70","478","25","71"
"168","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","124","411","55","34"
"170","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","163","357","43","46"
"169","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","131","364","30","42"
"172","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","95","408","16","76"
"171","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","56","428","31","54"
"173","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","111","353","42","83"
"175","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","102","399","13","68"
"176","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","80","410","14","80"
"174","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","106","549","12","14"
"177","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","96","445","15","68"
"178","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","54","463","29","67"
"179","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","74","459","39","58"
"181","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","99","421","11","87"
"182","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","152","389","28","59"
"183","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","135","379","31","92"
"180","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","106","342","15","97"
"184","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","101","446","20","64"
"185","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","126","406","27","54"
"186","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","101","449","12","33"
"188","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","82","484","5","33"
"189","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","90","454","32","20"
"190","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","92","479","12","41"
"187","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","79","412","21","99"
"191","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","109","359","44","67"
"192","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","151","311","32","74"
"193","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","138","400","11","77"
"195","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","71","422","29","71"
"196","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","138","401","40","22"
"194","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","49","451","14","47"
"197","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","55","507","22","45"
"198","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","87","390","38","54"
"199","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","140","426","11","45"
"200","0.03","0.12","1","0.5","0.0050","0.01","0.5","0.1","30","30","1000","82","427","49","51"
